"County","State","Contract ID","Organization Name","Organization Type","Plan Type","SSA Code","FIPS Code","Enrolled"
"Baldwin","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01010","01003","17"
"Baldwin","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01010","01003","2379"
"Baldwin","AL","H4909","ANTHEM INSURANCE COMPANIES, INC.","Local CCP","Local PPO","01010","01003","25"
"Baldwin","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01010","01003","3095"
"Baldwin","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01010","01003","378"
"Baldwin","AL","H5525","HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Local CCP","Local PPO","01010","01003","646"
"Baldwin","AL","H5619","ARCADIAN HEALTH PLAN, INC.","Local CCP","HMO/HMOPOS","01010","01003","4911"
"Baldwin","AL","H7728","ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.","Local CCP","Local PPO","01010","01003","19"
"Baldwin","AL","H8145","HUMANA INSURANCE COMPANY","PFFS","PFFS","01010","01003","35"
"Baldwin","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01010","01003","302"
"Baldwin","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01010","01003","259"
"Barbour","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01020","01005","321"
"Barbour","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01020","01005","1418"
"Barbour","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01020","01005","208"
"Barbour","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01020","01005","38"
"Barbour","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01020","01005","849"
"Barbour","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01020","01005","243"
"Barbour","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01020","01005","11"
"Barbour","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01020","01005","90"
"Bibb","AL","90091","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","HCPP - 1833 Cost","HCPP - 1833 Cost","01030","01007","154"
"Bibb","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01030","01007","630"
"Bibb","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01030","01007","124"
"Bibb","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01030","01007","98"
"Bibb","AL","H2802","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","Local CCP","HMO/HMOPOS","01030","01007","418"
"Bibb","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01030","01007","602"
"Bibb","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01030","01007","333"
"Bibb","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01030","01007","66"
"Bibb","AL","H5619","ARCADIAN HEALTH PLAN, INC.","Local CCP","HMO/HMOPOS","01030","01007","270"
"Bibb","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01030","01007","11"
"Bibb","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01030","01007","16"
"Blount","AL","90091","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","HCPP - 1833 Cost","HCPP - 1833 Cost","01040","01009","37"
"Blount","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01040","01009","1386"
"Blount","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01040","01009","1967"
"Blount","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01040","01009","440"
"Blount","AL","H0710","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01040","01009","50"
"Blount","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01040","01009","222"
"Blount","AL","H2802","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","Local CCP","HMO/HMOPOS","01040","01009","1381"
"Blount","AL","H3916","HIGHMARK SENIOR HEALTH COMPANY","Local CCP","Local PPO","01040","01009","39"
"Blount","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01040","01009","30"
"Blount","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01040","01009","503"
"Blount","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01040","01009","1018"
"Blount","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01040","01009","131"
"Blount","AL","H5619","ARCADIAN HEALTH PLAN, INC.","Local CCP","HMO/HMOPOS","01040","01009","265"
"Blount","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01040","01009","17"
"Blount","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01040","01009","34"
"Bullock","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01050","01011","112"
"Bullock","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01050","01011","343"
"Bullock","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01050","01011","412"
"Bullock","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01050","01011","125"
"Bullock","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01050","01011","193"
"Bullock","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01050","01011","25"
"Bullock","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01050","01011","21"
"Butler","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01060","01013","642"
"Butler","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01060","01013","15"
"Butler","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01060","01013","167"
"Butler","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01060","01013","52"
"Butler","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01060","01013","915"
"Butler","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01060","01013","35"
"Butler","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01060","01013","11"
"Butler","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01060","01013","77"
"Calhoun","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01070","01015","1570"
"Calhoun","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01070","01015","3018"
"Calhoun","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01070","01015","1506"
"Calhoun","AL","H0710","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01070","01015","28"
"Calhoun","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01070","01015","451"
"Calhoun","AL","H3916","HIGHMARK SENIOR HEALTH COMPANY","Local CCP","Local PPO","01070","01015","296"
"Calhoun","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01070","01015","88"
"Calhoun","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01070","01015","18"
"Calhoun","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01070","01015","2283"
"Calhoun","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01070","01015","201"
"Calhoun","AL","H5619","ARCADIAN HEALTH PLAN, INC.","Local CCP","HMO/HMOPOS","01070","01015","11"
"Calhoun","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01070","01015","33"
"Calhoun","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01070","01015","460"
"Chambers","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01080","01017","644"
"Chambers","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01080","01017","158"
"Chambers","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01080","01017","53"
"Chambers","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01080","01017","1494"
"Chambers","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01080","01017","191"
"Chambers","AL","H5619","ARCADIAN HEALTH PLAN, INC.","Local CCP","HMO/HMOPOS","01080","01017","1250"
"Chambers","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01080","01017","70"
"Cherokee","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01090","01019","468"
"Cherokee","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01090","01019","375"
"Cherokee","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01090","01019","252"
"Cherokee","AL","H3916","HIGHMARK SENIOR HEALTH COMPANY","Local CCP","Local PPO","01090","01019","148"
"Cherokee","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01090","01019","308"
"Cherokee","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01090","01019","1191"
"Cherokee","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01090","01019","213"
"Cherokee","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01090","01019","12"
"Cherokee","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01090","01019","109"
"Chilton","AL","90091","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","HCPP - 1833 Cost","HCPP - 1833 Cost","01100","01021","15"
"Chilton","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01100","01021","1164"
"Chilton","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01100","01021","704"
"Chilton","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01100","01021","267"
"Chilton","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01100","01021","262"
"Chilton","AL","H2802","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","Local CCP","HMO/HMOPOS","01100","01021","1164"
"Chilton","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01100","01021","71"
"Chilton","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01100","01021","1300"
"Chilton","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01100","01021","794"
"Chilton","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01100","01021","82"
"Chilton","AL","H7849","CIGNA HEALTH AND LIFE INSURANCE COMPANY","Local CCP","Local PPO","01100","01021","32"
"Chilton","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01100","01021","23"
"Choctaw","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01110","01023","306"
"Choctaw","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01110","01023","58"
"Choctaw","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01110","01023","743"
"Choctaw","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01110","01023","12"
"Choctaw","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01110","01023","73"
"Clarke","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01120","01025","313"
"Clarke","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01120","01025","741"
"Clarke","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01120","01025","213"
"Clarke","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01120","01025","41"
"Clarke","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01120","01025","477"
"Clarke","AL","H5525","HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Local CCP","Local PPO","01120","01025","48"
"Clarke","AL","H5619","ARCADIAN HEALTH PLAN, INC.","Local CCP","HMO/HMOPOS","01120","01025","1465"
"Clarke","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01120","01025","50"
"Clay","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01130","01027","406"
"Clay","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01130","01027","569"
"Clay","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01130","01027","97"
"Clay","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01130","01027","323"
"Clay","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01130","01027","53"
"Clay","AL","H8145","HUMANA INSURANCE COMPANY","PFFS","PFFS","01130","01027","18"
"Clay","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01130","01027","71"
"Cleburne","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01140","01029","311"
"Cleburne","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01140","01029","107"
"Cleburne","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01140","01029","397"
"Cleburne","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01140","01029","25"
"Cleburne","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01140","01029","219"
"Coffee","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01150","01031","652"
"Coffee","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01150","01031","1234"
"Coffee","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01150","01031","245"
"Coffee","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01150","01031","1342"
"Coffee","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01150","01031","113"
"Coffee","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01150","01031","22"
"Coffee","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01150","01031","123"
"Colbert","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01160","01033","1006"
"Colbert","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01160","01033","157"
"Colbert","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01160","01033","620"
"Colbert","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01160","01033","279"
"Colbert","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01160","01033","539"
"Colbert","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01160","01033","1393"
"Colbert","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01160","01033","256"
"Colbert","AL","H5619","ARCADIAN HEALTH PLAN, INC.","Local CCP","HMO/HMOPOS","01160","01033","622"
"Colbert","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01160","01033","93"
"Colbert","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01160","01033","146"
"Conecuh","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01170","01035","417"
"Conecuh","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01170","01035","100"
"Conecuh","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01170","01035","12"
"Conecuh","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01170","01035","626"
"Conecuh","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01170","01035","24"
"Conecuh","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01170","01035","54"
"Coosa","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01180","01037","323"
"Coosa","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01180","01037","612"
"Coosa","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01180","01037","105"
"Coosa","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01180","01037","41"
"Coosa","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01180","01037","225"
"Coosa","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01180","01037","50"
"Coosa","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01180","01037","52"
"Covington","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01190","01039","1168"
"Covington","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01190","01039","262"
"Covington","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01190","01039","20"
"Covington","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01190","01039","1237"
"Covington","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01190","01039","256"
"Covington","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01190","01039","14"
"Covington","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01190","01039","240"
"Crenshaw","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01200","01041","331"
"Crenshaw","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01200","01041","552"
"Crenshaw","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01200","01041","172"
"Crenshaw","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01200","01041","15"
"Crenshaw","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01200","01041","402"
"Crenshaw","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01200","01041","76"
"Cullman","AL","90091","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","HCPP - 1833 Cost","HCPP - 1833 Cost","01210","01043","28"
"Cullman","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01210","01043","1451"
"Cullman","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01210","01043","993"
"Cullman","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01210","01043","653"
"Cullman","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01210","01043","370"
"Cullman","AL","H2802","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","Local CCP","HMO/HMOPOS","01210","01043","1321"
"Cullman","AL","H3916","HIGHMARK SENIOR HEALTH COMPANY","Local CCP","Local PPO","01210","01043","31"
"Cullman","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01210","01043","113"
"Cullman","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01210","01043","1525"
"Cullman","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01210","01043","1543"
"Cullman","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01210","01043","193"
"Cullman","AL","H5619","ARCADIAN HEALTH PLAN, INC.","Local CCP","HMO/HMOPOS","01210","01043","424"
"Cullman","AL","H7849","CIGNA HEALTH AND LIFE INSURANCE COMPANY","Local CCP","Local PPO","01210","01043","34"
"Cullman","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01210","01043","96"
"Cullman","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01210","01043","121"
"Dale","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01220","01045","600"
"Dale","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01220","01045","84"
"Dale","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01220","01045","1513"
"Dale","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01220","01045","160"
"Dale","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01220","01045","27"
"Dale","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01220","01045","1259"
"Dale","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01220","01045","160"
"Dale","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01220","01045","16"
"Dale","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01220","01045","130"
"Dallas","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01230","01047","788"
"Dallas","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01230","01047","1629"
"Dallas","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01230","01047","205"
"Dallas","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01230","01047","1393"
"Dallas","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01230","01047","763"
"Dallas","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01230","01047","99"
"Dallas","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01230","01047","22"
"Dallas","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01230","01047","127"
"DeKalb","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01240","01049","1409"
"DeKalb","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01240","01049","193"
"DeKalb","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01240","01049","333"
"DeKalb","AL","H3916","HIGHMARK SENIOR HEALTH COMPANY","Local CCP","Local PPO","01240","01049","107"
"DeKalb","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01240","01049","93"
"DeKalb","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01240","01049","1574"
"DeKalb","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01240","01049","1048"
"DeKalb","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01240","01049","190"
"DeKalb","AL","H5619","ARCADIAN HEALTH PLAN, INC.","Local CCP","HMO/HMOPOS","01240","01049","672"
