"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"AETNA BETTER HEALTH OF MICHIGAN INC.","Aetna Better Health Premier Plan","H8026","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","CVS Health Corporation","Chicago","7,831","1333 Gratiot Avenue, Suite 400","","Detroit","MI","48207","Director, Business Projec","Welch","Richard","","1-855-676-5772","","","WelchR@aetna.com","7400 Campus Road","","New Albany","OH","43054","02/03/2020"
"AETNA BETTER HEALTH OF OKLAHOMA INC.","Aetna Medicare","H4835","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","14,681","3030 N.W. Expressway","Suite 625","Oklahoma City","OK","73112","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"AETNA BETTER HEALTH OF TEXAS INC.","Aetna Medicare","H8597","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","CVS Health Corporation","Philadelphia","3,299","2777 Stemmons Freeway,  Suite 1450","","Dallas","TX","75207","D-SNP Program Manager","Penn","Linda","","1-682-760-0262","","","PennL1@aetna.com","CVS Irving Tower","750 W. John Carpenter Freeway","Irving","TX","75039","07/09/2020"
"AETNA BETTER HEALTH OF WASHINGTON, INC.","Aetna Medicare","H3748","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","22,852","600 University St.","Suite 920","Seattle","WA","98101","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/10/2018"
"AETNA BETTER HEALTH, INC. (LA)","Aetna Medicare","H3239","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","CVS Health Corporation","Philadelphia","1,658","2400 Veterans Memorial Boulevard, Suite 200","","Kenner","LA","70062","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/25/2018"
"AETNA HEALTH AND LIFE INSURANCE COMPANY","Aetna Medicare","H3288","Local CCP","Local PPO","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","140,123","151 Farmington Ave.","","Hartford","CT","06156","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/10/2018"
"AETNA HEALTH INC. (CT)","Aetna Medicare","H5793","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","CVS Health Corporation","Philadelphia","9,435","151 Farmington Avenue","","Hartford","CT","06156","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (FL)","Aetna Medicare","H1609","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","CVS Health Corporation","Philadelphia","54,319","4630 Woodlands Corporate Blvd","","Tampa","FL","33614","","Customer Service","Aetna","","1-866-901-4692","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","11/26/2014"
"AETNA HEALTH INC. (GA)","Aetna Medicare","H5302","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","CVS Health Corporation","Philadelphia","845","2000 RiverEdge Parkway","Suite 300","Atlanta","GA","30339","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (LA)","Aetna Medicare","H3928","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","CVS Health Corporation","Philadelphia","1,105","3838 N. Causeway Blvd","Suite 3350","Metairie","LA","70002","","Customer Service","Aetna","","1-888-360-6626","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","11/25/2014"
"AETNA HEALTH INC. (ME)","Aetna Medicare","H3597","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","CVS Health Corporation","Philadelphia","12,768","191 Marginal Way, Suite G","","Portland","ME","04101","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (NJ)","Aetna Medicare","H3152","Local CCP","HMO/HMOPOS","09/01/1993","For Profit","CVS Health Corporation","Philadelphia","49,110","9 Entin Road","Suite 203","Parsippany","NJ","07054","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (NY)","Aetna Medicare","H3312","Local CCP","HMO/HMOPOS","10/01/1986","For Profit","CVS Health Corporation","Philadelphia","24,376","101 PARK AVENUE, 15th FLOOR","","NEW YORK","NY","10178","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (PA)","Aetna Medicare","H7149","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","CVS Health Corporation","Philadelphia","5,646","1425 Union Meeting Road","","Blue Bell","PA","19422","","Customer Service","Aetna","","1-866-901-4692","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","11/26/2014"
"AETNA HEALTH INC. (PA)","Aetna Medicare","H3959","Local CCP","HMO/HMOPOS","01/01/1996","For Profit","CVS Health Corporation","Philadelphia","106,978","1425 Union Meeting Road","","Blue Bell","PA","19422","","Customer Service","Aetna","","1-800-290-0190","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","11/26/2014"
"AETNA HEALTH INC. (PA)","Aetna Medicare","H3931","Local CCP","HMO/HMOPOS","11/01/1985","For Profit","CVS Health Corporation","Philadelphia","60,634","1425 Union Meeting Road","","Blue Bell","PA","19422","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC. (TX)","Aetna Medicare","H4523","Local CCP","HMO/HMOPOS","08/01/2005","For Profit","CVS Health Corporation","Philadelphia","31,856","2777 Stemmons Freeway, Suite 1450","","Dallas","TX","75207","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH INC.(GA)","Aetna Medicare","H1109","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","CVS Health Corporation","Philadelphia","3,301","2000 RiverEdge Parkway","Suite 300","Atlanta","GA","30328","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH OF CALIFORNIA INC.","Aetna Medicare","H0523","Local CCP","HMO/HMOPOS","05/01/1986","For Profit","CVS Health Corporation","Philadelphia","7,845","2850 Shadelands Drive","","Walnut Creek","CA","94598","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AETNA HEALTH OF IOWA INC.","Aetna Medicare","H5593","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","1,780","4320 114th Street","","Urbandale","IA","50322","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"AETNA HEALTH OF MICHIGAN INC.","Aetna Medicare","H3192","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","3,107","28588 Northwestern Hwy.","","Southfield","MI","48034","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/07/2018"
"AETNA HEALTH OF OHIO INC.","Aetna Medicare","H0628","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","6,639","7400 West Campus Road","","New Albany","OH","43054","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/06/2018"
"AETNA HEALTH OF UTAH INC","Aetna Medicare","H8649","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","CVS Health Corporation","Philadelphia","7,743","10150 S Centennial Parkway","Suite 450","Sandy","UT","84070","","Customer Service","Aetna","","1-866-784-4918","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/12/2015"
"AETNA LIFE INSURANCE COMPANY","Aetna Medicare","R6694","Regional CCP","Regional PPO","01/01/2016","For Profit","CVS Health Corporation","Philadelphia","3,915","151 Farmington Avenue","","Hartford","CT","06156","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/12/2015"
"AETNA LIFE INSURANCE COMPANY","Aetna Medicare","H5521","Local CCP","Local PPO","01/01/2006","For Profit","CVS Health Corporation","Philadelphia","1,625,736","151 Farmington Avenue","","Hartford","CT","06156","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","08/11/2015"
"AGEWELL NEW YORK, LLC","AgeWell New York","H4922","Local CCP","HMO/HMOPOS","01/01/2015","For Profit","ParkerCare New York, LLC","New York","888","1991 Marcus Avenue","Suite M201","Lake Success","NY","11042","Corporate Compliance Offi","Mukuka","Barbra","","1-718-484-5032","","","bmukuka@agewellnewyork.com","1991 Marcus Ave","Suite M201","Lake Success","NY","11042","12/20/2019"
"AHF MCO OF FLORIDA, INC.","AHF","H3132","Local CCP","HMO/HMOPOS","01/01/2008","Not-for-Profit/Non-Profit","AIDS Healthcare Foundation","San Francisco","1,516","700 SE 3rd Ave., 4th Floor","","Fort Lauderdale","FL","33316","Health Plan Administrator","O'Malley","Michael","","1-888-456-4715","","1-888-235-8482","michael.omalley@aidshealth.org","1001 N. Martel Ave.","","Los Angeles","CA","90046","08/14/2019"
"AHF MCO OF GEORGIA, INC.","AHF","H3572","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","AIDS Healthcare Foundation","San Francisco","27","700 SE 3rd Ave","4th FL","Fort Lauderdale","FL","33316","Health Plan Administrator","O'Malley","Michael","","1-888-456-4715","","1-888-235-8482","michael.omalley@aidshealth.org","1001 N. Martel Ave.","","Los Angeles","CA","90046","08/14/2019"
"AIDS HEALTHCARE FOUNDATION","AHF","H5852","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","AIDS Healthcare Foundation","San Francisco","665","6255 W. Sunset Blvd., 21st Floor","","Los Angeles","CA","90028","Health Plan Administrator","O'Malley","Michael","","1-800-263-0067","","1-888-235-8482","michael.omalley@aidshealth.org","6255 W. Sunset Blvd., 19th Floor","","Los Angeles","CA","90028","08/28/2020"
"ALBRIGHT CARE SERVICES","ALBRIGHT CARE SERVICES","H9068","National PACE","National PACE","01/01/2012","Not-for-Profit/Non-Profit","Albright Care Services","Philadelphia","218","90 Maplewood Drive","","Lewisburg","PA","17837","Corporate Compliance Offi","Shively","LouAnn","","1-570-522-3880","","1-570-524-9068","louann.shively@albrightcare.org","90 Maplewood Drive","","Lewisburg","PA","17837","02/26/2015"
"ALEXIAN BROTHERS COMMUNITY SERVICES","Alexian Brothers Community Services","H4402","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Ascension Health Alliance","Atlanta","259","425 CUMBERLAND STREET, Suite 110","Suite 110","CHATTANOOGA","TN","37404","Administrator","Guertin","Vicki","","1-423-495-9118","","","vguertin@ascension.org","425 Cumberland Street","","Chattanooga","TN","37404","04/02/2018"
"ALIGN SENIOR CARE MI, LLC","Align Senior Care","H6832","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Innovative Long Term Care Management, Inc.","Philadelphia","151","20600 Telegraph Road","Suite 2345","Bingham Farms","MI","48025","","French","Kirk","","1-844-854-6883","","1-800-375-6496","alan.bratton@allyalign.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/08/2019"
"ALIGN SENIOR CARE, INC.","Align Senior Care","H1277","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Innovative Long Term Care Management, Inc.","Philadelphia","16","10900 Nuckols Road","Suite 110","Glen Allen","VA","23060","","French","Kirk","","1-844-854-6883","","1-800-375-6496","alan.bratton@allyalign.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/08/2019"
"ALIGNMENT HEALTH PLAN","Alignment Health Plan","H4961","Local CCP","Local PPO","01/01/2020","For Profit","Alignment Healthcare USA, LLC","San Francisco","519","1100 W Town & Country Rd.","1600","Orange","CA","92868","President","Maroney","Dawn","","1-657-218-7616","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","02/05/2019"
"ALIGNMENT HEALTH PLAN","Alignment Health Plan","H3815","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","Alignment Healthcare USA, LLC","San Francisco","67,412","1100 W. Town and Country Road","Suite 1600","Orange","CA","92868","President","Maroney","Dawn","","1-657-218-7616","","1-844-320-2247","dmaroney@ahcusa.com","1100 W. Town and Country Road #1600","","Orange","CA","92868-4600","12/02/2014"
"ALLCARE HEALTH PLAN, INC.","AllCare Advantage","H3810","Local CCP","HMO/HMOPOS","05/01/2005","For Profit","AllCare Health, Inc.","Seattle","3,903","1701 NE 7th Street","","GRANTS PASS","OR","97526","Vice President of Marketi","Sennhauser","Freddy","","1-888-460-0185","","1-541-471-1524","freddy.sennhauser@allcarehealth.com","1701 NE 7th Street","","Grants Pass","OR","97526","12/14/2016"
"ALLCARE PACE, LLC","AllCare PACE, LLC","H0247","National PACE","National PACE","07/01/2020","For Profit","AllCare Health, Inc.","Seattle","","2166 NW Vine Street","","Grants Pass","OR","97526","VP Brand & Communications","King","Cassie","","1-888-460-0185","","","cassie.king@allcarehealth.com","1701 NE 7th Street","","Grants Pass","OR","97526","07/01/2020"
"ALLIANCE HEALTH AND LIFE INSURANCE COMPANY","HAP Senior Plus (PPO)","H2322","Local CCP","Local PPO","08/01/2005","For Profit","Henry Ford Health System","Chicago","6,406","2850 WEST GRAND BLVD.","","Detroit","MI","48202","VP Customer Svcs","Harder","Christine","","1-866-766-4661","","","charder2@hap.org","2850 W. Grand Blvd.","","Detroit","MI","48202","06/28/2017"
"ALLINA HEALTH AND AETNA INSURANCE COMPANY","Allina Health Aetna Medicare","H3219","Local CCP","Local PPO","01/01/2019","For Profit","Allina Health and Aetna Insurance Holding Company","Philadelphia","11,915","2925 Chicago Avenue","","Minneapolis","MN","55407","","Customer Service","Aetna","","1-866-901-4692","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","02/02/2018"
"ALOHACARE","AlohaCare","H5969","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","AlohaCare","San Francisco","2,133","1357 Kapiolani Blvd., Suite 1250","","Honolulu","HI","96814","","Customer Service","AlohaCare","","1-808-973-6395","","1-808-973-7410","info@alohacare.org","1357 Kapiolani Blvd., Suite 1250","","Honolulu","HI","96814","08/24/2013"
"ALTAMED HEALTH SERVICES CORPORATION","AltaMed Health Services Corporation","H0542","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Altamed Health Services Corporation","San Francisco","2,169","2040 Camfield Ave.","","Los Angeles","CA","90040","Vice President, Senior Ca","Zamora","Maria","","1-323-201-9742","","","mzamora@altamed.org","2040 Camfield Ave","","Los Angeles","CA","90040","09/19/2019"
"AMARILLO MULTISVC CTR FR THE AGING INC","The Basics at Jan Werner","H4517","National PACE","National PACE","03/01/2004","Not-for-Profit/Non-Profit","Amarillo Multisvc Ctr Fr the Aging Inc","Dallas","122","3108 SOUTH FILLMORE STREET","","AMARILLO","TX","79110","Executive Director","Hurt","Kristen","R","1-806-374-5516","","1-806-373-9446","krissy@janwerneradultdaycare.org","3108 S Fillmore","","Amarillo","TX","79110","09/08/2020"
"AMERICA'S 1ST CHOICE OF SOUTH CAROLINA, INC.","America's 1st Choice of South Carolina","H8170","Local CCP","HMO/HMOPOS","01/01/2015","For Profit","Anthem Inc.","Chicago","394","250 Berry Hill Road","Suite #311","Columbia","SC","29210","Director of Member Servic","Thomas","Daniel","","1-800-401-2740","","","cms@americas1stchoice.com","3707 W Cherry Street","","Tampa","FL","33607","05/04/2020"
"AMERICAN HEALTH PLAN OF MS, INC.","American Health Advantage of MS","H9909","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","American Health Companies, Inc.","Denver","","201 Jordan Road","Suite 200","Franklin","TN","37067","Executive Director","Voightman","Kari","","1-615-595-8383","","1-615-614-8425","kvoightman@amhealthplans.com","201 Jordan Rd","Ste 200","Franklin","TN","37067","02/13/2019"
"AMERICAN HEALTH PLAN, INC.","American Health Advantage of Tennessee","H7779","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","American Health Companies, Inc.","Denver","717","201 Jordan Road","Suite 200","Franklin","TN","37067","Executive Director","Voightman","Kari","","1-615-595-8383","","1-615-614-8425","kvoightman@amhealthplans.com","201 Jordan Rd","Ste 200","Franklin","TN","37067","01/30/2019"
"AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY","WellCare","H2816","PFFS","PFFS","01/01/2011","For Profit","Centene Corporation","Dallas","8,383","4888 Loop Central Drive","Suite 300","Houston","TX","77081","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","12/20/2018"
"AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY","WellCare","H2775","Local CCP","Local PPO","01/01/2009","For Profit","Centene Corporation","Dallas","39,626","4888 Loop Central Drive","Suite 300","Houston","TX","77081","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8735 Henderson Road, Ren 1, 3rd Floor","","Tampa","FL","33634","12/20/2018"
"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC.","Amerigroup Community Care of New Mexico","H5746","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Anthem Inc.","Chicago","2,399","6565 Americas Parkway NE","Suite 200","Albuquerque","NM","87110","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"AMERIGROUP NEW JERSEY, INC.","Amerigroup Community Care","H3240","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Anthem Inc.","Chicago","19,608","101 Wood Avenue South","Suite 800","Iselin","NJ","08830","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"AMERIGROUP TEXAS, INC.","Amerigroup","H2593","Local CCP","HMO/HMOPOS","01/01/2010","For Profit","Anthem Inc.","Chicago","119,202","3800 Buffalo Parkway","Suite 400","Houston","TX","77098","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"AMERIGROUP TEXAS, INC.","Amerigroup STAR+PLUS MMP","H8786","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","Anthem Inc.","Dallas","12,138","5959 Corporate Dr.","Suite 1300","Houston","TX","77036","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"AMERIGROUP WASHINGTON, INC.","AMERIGROUP","H1894","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Anthem Inc.","Chicago","3,671","705 5th Avenue South","Suite 300","Seattle","WA","98104","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"AMERIHEALTH MICHIGAN, INC.","AmeriHealth Caritas VIP Care Plus","H0192","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2015","For Profit","Independence Health Group","Chicago","3,015","200 Stevens Drive","","Philadelphia","PA","19113","","Services","Provider","","1-888-667-0318","","","VIPProviderComm@amerihealthcaritas.com","AmeriHealth Caritas Family of Companies","200 Stevens Dr.","Philadelphia","PA","19113","01/17/2017"
"AMH HEALTH, LLC","AMH Health","H9065","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Anthem Inc.","Chicago","7,536","2 Gannett Drive","","South Portland","ME","04106","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY","Anthem Blue Cross Life and Health Insurance Co.","H8552","Local CCP","Local PPO","01/01/2012","For Profit","Anthem Inc.","Chicago","10,479","21555 Oxnard Street","","Woodland Hills","CA","91367","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"ANTHEM HEALTH PLANS OF MAINE, INC.","Anthem Blue Cross and Blue Shield","H6786","Local CCP","Local PPO","01/01/2013","For Profit","Anthem Inc.","Chicago","122","2 Gannett Drive","","South Portland","ME","041066911","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.","Anthem Blue Cross and Blue Shield","H7728","Local CCP","Local PPO","01/01/2013","For Profit","Anthem Inc.","Chicago","34,300","3000 Goffs Falls Road","","Manchester","NH","031110001","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"ANTHEM HEALTH PLANS, INC.","Anthem Blue Cross and Blue Shield","H5854","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Anthem Inc.","Chicago","29,747","370 Bassett Road","","North Haven","CT","06473","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"ANTHEM HEALTH PLANS, INC.","Anthem Blue Cross and Blue Shield","H2836","Local CCP","Local PPO","01/01/2012","For Profit","Anthem Inc.","Chicago","","370 Bassett Road","","North Haven","CT","06473","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","R4487","Regional CCP","Regional PPO","01/01/2019","For Profit","Anthem Inc.","Chicago","27,576","220 Virginia Ave","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
